Türkentaube;
Turteltaube;
Kolkrabe;
Schwarzstorch;
Ringelgans;
Sperber;
Krickente;
Blässgans;
Reiherente;
Silbermöve;
Wiesenweihe;
Tannenhäher;
Rohrweihe;
Kornweihe;
Brandente;
Löffelente;
Wanderfalke;
Großer Brachvogel;
Rebhuhn;
Eiderente;
Knäkente;
Wespenbussard;
Uhu;
Fasan;
Trauerente;
Baumfalke;
Seeadler;
Tafelente;
Spießente;
Schleiereule;
Bekassine;
Bergente;
Blässhuhn;
Graureiher;
Turmfalke;
Waldkauz;
Birkwild;
Mäusebussard;
Graugans;
Fischadler;
Eichelhäher;
Zwergsäger;
Ringeltaube;
Schnatterente;
Waldschnepfe;
Schreiadler;
Kanadagans;
Auerwild;
Sturmmöve;
Schwarzer Milan;
Stockente;
Saatgans;
Mantelmöve;
Gänsesäger;
Sperlingskauz;
Moorente;
Alpenschneehuhn;
Roter Milan;
Rauhfußbussard;
Grünfüßiges Teichhuhn;
Pfeifente;
Mittelsäger;
Wasserralle;
Steinadler;
Samtente;
Habicht;
Weißstorch;
Dohle;
Schellente;
Kranich;
Hohltaube;
Kolbenente;
Nilgans;
Saatkrähe;
Großtrappe;
Elster;
Sumpfohreule;
Eisente;
Große Rohrdommel;
Heringsmöwe;
Alpendohle;
Waldohreule;
Wachtel;
Steinkauz;
Fuchs;
Fischotter;
Wisent;
Steinwild;
Schwarzwild;
Elchwild;
Rotwild,Brunftzeit:,September,Beschreibung:,"";
Baummarder;
Alpenmurmeltier;
Feldhase;
Sikawild;
Wildkatze;
Waschbär;
Hermelin;
Wildkaninchen;
Dachs;
Wolf;
Biber;
Nutria;
Mink;
Steinmarder;
Luchs;
Alpenschneehase;
Iltis;
Damwild;
Rehwild;
Mauswiesel;
Gamswild;
Alpenländische Dachsbracke;
Irish Setter;
Weimeraner;
Hannoverscher Schweißhund;
Bayrischer Gebirgsschweißhund;
Magyar Vizsla;
Foxterrier;
Beagle;
Pudelpointer;
Deutscher Wachtel;
Cocker Spaniel;
Brandlbracke;
Golden Retriever;
Münsterländer;
Espagneul Breton;
Griffon Korthals;
Teckel;
Labrador Retriever;
Pointer;
Springer Spaniel;
English Setter;
Gordon Setter;